	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_hrwage2012	ln_hrwage2012	ln_hrwage2012	ln_hrwage1990	ln_hrwage2000	ln_hrwage2012	ln_hrwage2012
							
math_onet	0.0500***	0.0451***	0.0095	0.0125	0.0178	0.0067	0.0013
	[0.0070]	[0.0100]	[0.0236]	[0.0173]	[0.0159]	[0.0205]	[0.0246]
socskills_onet	0.0441***	0.0383***	0.0539***	0.0515***	0.0402***	0.0466***	0.0547***
	[0.0057]	[0.0129]	[0.0160]	[0.0115]	[0.0114]	[0.0139]	[0.0160]
math_soc		0.0014	-0.0028	-0.0019	-0.0016	-0.0024	-0.0027
		[0.0025]	[0.0023]	[0.0017]	[0.0016]	[0.0020]	[0.0025]
routine_onet			0.0049	0.0070	0.0048	0.0040	0.0045
			[0.0055]	[0.0044]	[0.0038]	[0.0048]	[0.0052]
service_onet			-0.0118	-0.0187***	-0.0139**	-0.0105	-0.0209**
			[0.0085]	[0.0065]	[0.0059]	[0.0074]	[0.0093]
require_social_onet			-0.0144	-0.0060	-0.0066	-0.0120	-0.0091
			[0.0094]	[0.0067]	[0.0062]	[0.0081]	[0.0092]
number_facility_onet			-0.0231	-0.0177	-0.0302**	-0.0172	-0.0068
			[0.0191]	[0.0135]	[0.0127]	[0.0167]	[0.0195]
reason_onet			0.0433***	0.0253**	0.0277***	0.0382***	0.0398***
			[0.0138]	[0.0104]	[0.0101]	[0.0120]	[0.0130]
info_use_onet			0.0367**	0.0270**	0.0268*	0.0314**	0.0281
			[0.0181]	[0.0130]	[0.0138]	[0.0156]	[0.0178]
coord_onet			0.0037	0.0071	0.0037	0.0025	-0.0007
			[0.0084]	[0.0068]	[0.0066]	[0.0070]	[0.0099]
interact_onet			0.0032	-0.0088	-0.0006	0.0034	0.0014
			[0.0164]	[0.0114]	[0.0115]	[0.0144]	[0.0169]
ln_hrwage1980	0.1714***	0.1710***	0.1411***	0.1451***			
	[0.0131]	[0.0131]	[0.0109]	[0.0091]			
ln_hrwage1990					0.2221***		
					[0.0125]		
ln_hrwage2000						0.2624***	0.2486***
						[0.0143]	[0.0151]
Constant	2.0538***	2.0723***	2.1431***	2.2214***	2.0559***	1.8091***	1.8282***
	[0.0363]	[0.0447]	[0.0504]	[0.0446]	[0.0450]	[0.0521]	[0.0550]
							
Observations	56,609	56,609	56,609	56,609	56,609	56,609	47,045
R-squared	0.486	0.486	0.505	0.566	0.580	0.518	0.494
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.10							
